id,date,species,sex,wing,mass
z1F5GzUl3R-dQi5L3v,2016-06-03,Northern Cardinal,F,86,43.5
yP5i7W4v8p-vQ3ls2J,2016-05-28,Northern Cardinal,F,92,43.2
b96964Ztvu-bs34v21,2016-05-31,American Robin,F,130,80
j62Hx4kBai-dQi5L3v,2016-06-03,Carolina Chickadee,F,59,9.9
j46uE0P54z-bs34v21,2016-05-31,Song Sparrow,M,65,20
aivSRr32pd-bs34v21,2016-05-31,Northern Cardinal,F,89,41.7
meRTOWYzCK-vQ3ls2J,2016-05-28,Northern Cardinal,F,89,42.3
x5LsaTJnf9-vQ3ls2J,2016-05-28,House Wren,M,53,11.2
nDrM74t8g4-wi4s6wg,2016-06-04,House Wren,M,51,10.9
fPFJnv8O2j-wi4s6wg,2016-06-04,American Robin,M,125,76.5
bzhEdDNgCX-dQi5L3v,2016-06-03,Carolina Chickadee,F,62,10.5
ld2059fU89-dQi5L3v,2016-06-03,Northern Cardinal,M,92,40.2
xIDX9031P3-vQ3ls2J,2016-05-28,House Wren,F,47,11.6
d9b8UYDkf4-wi4s6wg,2016-06-04,Song Sparrow,M,65,19.2
zAtuGI8zlh-wi4s6wg,2016-06-04,Carolina Wren,M,60.5,21.7
vopqu91Zc2-wi4s6wg,2016-06-04,Gray Catbird,M,90,34.3
q6C1i589f6-w64W3op,2016-06-14,Carolina Wren,F,50.5,20.5
nb7Rr0G3Al-w64W3op,2016-06-14,Northern Cardinal,M,87,37.6
v5Hp0I57z4-x310KGk,2016-06-14,Carolina Wren,M,63,22.7
xSq95icB8h-w64W3op,2016-06-14,Northern Cardinal,M,90,44.5
uV3721B68q-x310KGk,2016-06-14,Gray Catbird,M,92,32.9
s1Ibrw6B5u-x310KGk,2016-06-14,Song Sparrow,M,64,20.4
g90Cfa0g4t-b9I2xm8,2016-06-17,Song Sparrow,M,67,21.5
q1G296A3n5-cdqnTEx,2016-06-16,American Robin,M,124,78.4
o8h1G4wzZ4-cdqnTEx,2016-06-16,House Wren,M,49,11
qDr34e3jWO-o1Z1jm2,2016-06-20,House Wren,F,47,9.8
dzG806A3LP-o1Z1jm2,2016-06-20,Song Sparrow,M,66,20.9
ti8ltewQj7-bbm615D,2016-06-21,Northern Cardinal,F,92,41
b6X23G20s4-bbm615D,2016-06-21,Northern Cardinal,F,91,41.8
baf0Xen9wp-yBF4Vja,2016-06-25,House Wren,M,53,10.3
uD42J6jq51-bbm615D,2016-06-21,Northern Cardinal,M,93,42.2
qB2634459H-bbm615D,2016-06-21,Song Sparrow,F,64,21
yHy987tlr5-lY81r0A,2016-06-22,American Robin,F,122,84.2
vdUAODJB1m-o1Z1jm2,2016-06-20,House Wren,M,51,9
l4BVI53U7A-cdqnTEx,2016-06-16,Northern Cardinal,F,92,44
yG4opb301P-i0mlCtD,2016-06-21,Gray Catbird,M,89,33
dR09H2XGaL-yBF4Vja,2016-06-25,House Wren,F,47,10.6
nHe35dZ9X6-fyT3699,2016-06-27,Northern Cardinal,F,90,43.5
v7n4PC4puc-fyT3699,2016-06-27,Northern Cardinal,F,88,40.3
tn38TE1X0k-lY81r0A,2016-06-22,Gray Catbird,M,88,36.7
g8gsiwRA5j-unU3Rj0,2016-06-24,Gray Catbird,F,88.5,44.9
p7le3fWq2G-yBF4Vja,2016-06-25,Gray Catbird,F,89,36.5
yz10qf9N3c-k8jrIGQ,2016-06-22,Carolina Wren,F,58,19.6
m0KvlW301C-bbm615D,2016-06-21,House Wren,M,48,10.2
baRPjU1Oib-k8jrIGQ,2016-06-22,Northern Cardinal,F,90,44.4
f1WT76e70z-hb2n87t,2016-06-25,American Robin,F,125,77.1
xO6Zs364b6-f0U49j3,2016-06-26,American Robin,M,121,65.3
w2Yanr0UeB-b9I2xm8,2016-06-17,Carolina Chickadee,F,60,9.1
